
2  52.34500000  13.386667000    147   309  50    0.0 MW   SCHOENEFELD NDB
2  52.40021700  13.622450000    147   299  50    0.0 SL   SCHOENEFELD NDB
3  52.34202800  13.454072000    160 11410  80    2.0 BBI  BERLIN BRANDENBURG VOR-DME
3  52.47310000  13.405389000    199 00000  80    2.0 TOF  (inop) TEMPELHOF VOR-DME
3  52.56149700  013.28755800    118 00000  80    2.0 TGL  (inop) TEGEL VOR-DME
4  52.36025300  13.530844000    157 10970  12      68.790 IBSE EDDB 07R  ILS-cat-III
4  52.37946000  13.534598000    157 11070  15      68.790 IBNE EDDB 07L  ILS-cat-III
4  52.36605000  13.478117000    157 10990  15     248.749 IBNW EDDB 25R  ILS-cat-III
4  52.34362800  13.460773000    157 10950  12     248.749 IBSW EDDB 25L  ILS-cat-III
4  52.56257500  013.31606900    111 00000  00      80.854 ITLE EDDT 08L ILS-cat-I
4  52.56055800  013.31459200    109 00000  00      80.866 ITGE EDDT 08R ILS-cat-I
4  52.55615800  013.26970600    121 00000  00     260.830 ITGW EDDT 26L ILS-cat-I
4  52.55723300  013.26159400    118 00000  00     260.828 ITLW EDDT 26R ILS-cat-I
6  52.34460500  13.473911000    138 10970  10  300068.790 IBSE EDDB 07R GS
6  52.36955900  13.489377000    138 11070  13  300068.790 IBNE EDDB 07L GS
6  52.37692300  13.520591000    144 10990  13  300248.749 IBNW EDDB 25R GS
6  52.35651300  13.518694000    141 10950  10  300248.749 IBSW EDDB 25L GS
6  52.55915600  013.27007500    103 00000  00  300080.845 ITLE EDDT 08L GS
6  52.55617200  013.28092200    100 00000  00  300080.857 ITGE EDDT 08R GS
6  52.55825300  013.30218600     93 00000  00  300260.857 ITGW EDDT 26L GS
6  52.56259400  013.30512800    101 00000  00  300260.845 ITLW EDDT 26R GS
12  52.34202800  13.454072000    118 11410  80    0.0 BBI  BERLIN BRANDENBURG VOR-DME
12  52.47310000  013.40538900    199 00000  80    0.0 TOF  (inop) TEMPELHOF VOR-DME
12  52.56149700  013.28755800    118 00000  80    0.0 TGL  (inop) TEGEL VOR-DME
99
